date,label,value
"2021-08-27 12:11:47",17150-CE,0.4
"2021-08-27 12:11:47",17150-PE,0.09
"2021-08-27 12:13:18",17100-CE,4.89
"2021-08-27 12:13:18",17100-PE,0.17
"2021-08-27 12:13:18",17150-CE,0.4
"2021-08-27 12:13:18",17150-PE,0.09
"2021-08-27 12:14:53",17100-CE,4.89
"2021-08-27 12:14:53",17100-PE,0.17
"2021-08-27 12:14:53",17150-CE,0.4
"2021-08-27 12:14:53",17150-PE,0.09
"2021-08-27 12:16:34",17100-CE,4.89
"2021-08-27 12:16:34",17100-PE,0.17
"2021-08-27 12:16:34",17150-CE,0.4
"2021-08-27 12:16:34",17150-PE,0.09
"2021-08-27 12:18:06",17100-CE,4.88
"2021-08-27 12:18:06",17100-PE,0.17
"2021-08-27 12:18:06",17150-CE,0.4
"2021-08-27 12:18:06",17150-PE,0.09
"2021-08-27 12:19:43",17100-CE,4.88
"2021-08-27 12:19:43",17100-PE,0.17
"2021-08-27 12:19:43",17150-CE,0.4
"2021-08-27 12:19:43",17150-PE,0.09
"2021-08-27 12:21:25",17100-CE,4.9
"2021-08-27 12:21:25",17100-PE,0.17
"2021-08-27 12:21:25",17150-CE,0.4
"2021-08-27 12:21:25",17150-PE,0.09
"2021-08-27 12:23:14",17100-CE,4.9
"2021-08-27 12:23:14",17100-PE,0.17
"2021-08-27 12:23:14",17150-CE,0.4
"2021-08-27 12:23:14",17150-PE,0.09
"2021-08-27 12:25:00",17100-CE,4.9
"2021-08-27 12:25:00",17100-PE,0.17
"2021-08-27 12:25:00",17150-CE,0.4
"2021-08-27 12:25:00",17150-PE,0.09
"2021-08-27 12:27:07",17100-CE,4.9
"2021-08-27 12:27:07",17100-PE,0.17
"2021-08-27 12:27:07",17150-CE,0.4
"2021-08-27 12:27:07",17150-PE,0.09
"2021-08-27 12:28:44",17100-CE,4.91
"2021-08-27 12:28:44",17100-PE,0.17
"2021-08-27 12:28:44",17150-CE,0.4
"2021-08-27 12:28:44",17150-PE,0.09
"2021-08-27 12:30:28",17100-CE,4.91
"2021-08-27 12:30:28",17100-PE,0.17
"2021-08-27 12:30:28",17150-CE,0.38
"2021-08-27 12:30:28",17150-PE,0.09
"2021-08-27 12:32:05",17100-CE,4.91
"2021-08-27 12:32:05",17100-PE,0.17
"2021-08-27 12:32:05",17150-CE,0.38
"2021-08-27 12:32:05",17150-PE,0.09
"2021-08-27 12:33:46",17100-CE,4.9
"2021-08-27 12:33:46",17100-PE,0.17
"2021-08-27 12:33:46",17150-CE,0.38
"2021-08-27 12:33:46",17150-PE,0.09
"2021-08-27 12:35:25",17100-CE,4.9
"2021-08-27 12:35:25",17100-PE,0.17
"2021-08-27 12:35:25",17150-CE,0.38
"2021-08-27 12:35:25",17150-PE,0.09
"2021-08-27 12:37:08",17100-CE,4.91
"2021-08-27 12:37:08",17100-PE,0.17
"2021-08-27 12:37:08",17150-CE,0.38
"2021-08-27 12:37:08",17150-PE,0.09
"2021-08-27 12:38:51",17100-CE,4.91
"2021-08-27 12:38:51",17100-PE,0.17
"2021-08-27 12:38:51",17150-CE,0.38
"2021-08-27 12:38:51",17150-PE,0.09
"2021-08-27 12:40:35",17100-CE,4.92
"2021-08-27 12:40:35",17100-PE,0.17
"2021-08-27 12:40:35",17150-CE,0.39
"2021-08-27 12:40:35",17150-PE,0.09
"2021-08-27 12:42:17",17100-CE,4.92
"2021-08-27 12:42:17",17100-PE,0.17
"2021-08-27 12:42:17",17150-CE,0.39
"2021-08-27 12:42:17",17150-PE,0.09
"2021-08-27 12:44:02",17100-CE,4.92
"2021-08-27 12:44:02",17100-PE,0.17
"2021-08-27 12:44:02",17150-CE,0.39
"2021-08-27 12:44:02",17150-PE,0.09
